# Export File Created with QBlade CE v2.0.8.6_beta windows on 17.04.2025 at 16:20:53
CLARK_Y_AIRFOIL_Re0.020_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re0.045_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re0.075_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re0.100_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re0.250_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re0.500_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re0.750_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re1.000_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re1.000_M0.00_N9.0
Angle of Attack [deg]	Lift Coefficient Cl [-]	Angle of Attack [deg]	Lift Coefficient Cl [-]	Angle of Attack [deg]	Lift Coefficient Cl [-]	Angle of Attack [deg]	Lift Coefficient Cl [-]	Angle of Attack [deg]	Lift Coefficient Cl [-]	Angle of Attack [deg]	Lift Coefficient Cl [-]	Angle of Attack [deg]	Lift Coefficient Cl [-]	Angle of Attack [deg]	Lift Coefficient Cl [-]	Angle of Attack [deg]	Lift Coefficient Cl [-]
-1.2800000e+02	7.8774112e-01	-1.2800000e+02	7.8724402e-01	-1.2800000e+02	5.5589277e-01	-1.2800000e+02	4.7626564e-01	-1.2800000e+02	4.0734431e-01	-1.2800000e+02	4.6490499e-01	-1.2800000e+02	4.5524421e-01	-1.2800000e+02	4.5211160e-01	END	END
-1.2700000e+02	7.7573961e-01	-1.2700000e+02	7.7526575e-01	-1.2700000e+02	5.4487443e-01	-1.2700000e+02	4.6548757e-01	-1.2700000e+02	3.9689684e-01	-1.2700000e+02	4.5445910e-01	-1.2700000e+02	4.4479907e-01	-1.2700000e+02	4.4167644e-01	END	END
-1.2600000e+02	7.6272953e-01	-1.2600000e+02	7.6227850e-01	-1.2600000e+02	5.3328073e-01	-1.2600000e+02	4.5428461e-01	-1.2600000e+02	3.8613990e-01	-1.2600000e+02	4.4358596e-01	-1.2600000e+02	4.3394613e-01	-1.2600000e+02	4.3083882e-01	END	END
-1.2500000e+02	7.4873161e-01	-1.2500000e+02	7.4830294e-01	-1.2500000e+02	5.2113545e-01	-1.2500000e+02	4.4268215e-01	-1.2500000e+02	3.7510121e-01	-1.2500000e+02	4.3231198e-01	-1.2500000e+02	4.2271200e-01	-1.2500000e+02	4.1962540e-01	END	END
-1.2400000e+02	7.3376787e-01	-1.2400000e+02	7.3336101e-01	-1.2400000e+02	5.0846231e-01	-1.2400000e+02	4.3070510e-01	-1.2400000e+02	3.6380759e-01	-1.2400000e+02	4.2066309e-01	-1.2400000e+02	4.1112265e-01	-1.2400000e+02	4.0806222e-01	END	END
-1.2300000e+02	7.1786147e-01	-1.2300000e+02	7.1747601e-01	-1.2300000e+02	4.9528497e-01	-1.2300000e+02	4.1837788e-01	-1.2300000e+02	3.5228509e-01	-1.2300000e+02	4.0866467e-01	-1.2300000e+02	3.9920363e-01	-1.2300000e+02	3.9617470e-01	END	END
-1.2200000e+02	7.0103687e-01	-1.2200000e+02	7.0067221e-01	-1.2200000e+02	4.8162720e-01	-1.2200000e+02	4.0572444e-01	-1.2200000e+02	3.4055871e-01	-1.2200000e+02	3.9420468e-01	-1.2200000e+02	3.8697967e-01	-1.2200000e+02	3.8398772e-01	END	END
-1.2100000e+02	6.8331951e-01	-1.2100000e+02	6.8297517e-01	-1.2100000e+02	4.6751240e-01	-1.2100000e+02	3.9276809e-01	-1.2100000e+02	3.2865253e-01	-1.2100000e+02	3.8165063e-01	-1.2100000e+02	3.7447497e-01	-1.2100000e+02	3.7152535e-01	END	END
-1.2000000e+02	6.6473597e-01	-1.2000000e+02	6.6441149e-01	-1.2000000e+02	4.5296401e-01	-1.2000000e+02	3.7953150e-01	-1.2000000e+02	3.1658953e-01	-1.2000000e+02	3.6881632e-01	-1.2000000e+02	3.6171290e-01	-1.2000000e+02	3.5881099e-01	END	END
-1.1900000e+02	6.4531386e-01	-1.1900000e+02	6.4500868e-01	-1.1900000e+02	4.3800518e-01	-1.1900000e+02	3.6603674e-01	-1.1900000e+02	3.0439171e-01	-1.1900000e+02	3.5572481e-01	-1.1900000e+02	3.4871611e-01	-1.1900000e+02	3.4586719e-01	END	END
-1.1800000e+02	6.2508184e-01	-1.1800000e+02	6.2479544e-01	-1.1800000e+02	4.2265880e-01	-1.1800000e+02	3.5230511e-01	-1.1800000e+02	2.9207987e-01	-1.1800000e+02	3.4239826e-01	-1.1800000e+02	3.3550638e-01	-1.1800000e+02	3.3271572e-01	END	END
-1.1700000e+02	6.0406929e-01	-1.1700000e+02	6.0380113e-01	-1.1700000e+02	4.0694755e-01	-1.1700000e+02	3.3835727e-01	-1.1700000e+02	2.7967370e-01	-1.1700000e+02	3.2885811e-01	-1.1700000e+02	3.2210475e-01	-1.1700000e+02	3.1937745e-01	END	END
-1.1600000e+02	5.8230662e-01	-1.1600000e+02	5.8205622e-01	-1.1600000e+02	3.9089379e-01	-1.1600000e+02	3.2421312e-01	-1.1600000e+02	2.6719177e-01	-1.1600000e+02	3.1512493e-01	-1.1600000e+02	3.0730727e-01	-1.1600000e+02	3.0587244e-01	END	END
-1.1500000e+02	5.5982506e-01	-1.1500000e+02	5.5959189e-01	-1.1500000e+02	3.7451953e-01	-1.1500000e+02	3.0989173e-01	-1.1500000e+02	2.5465140e-01	-1.1500000e+02	3.0121854e-01	-1.1500000e+02	2.9362059e-01	-1.1500000e+02	2.9221979e-01	END	END
-1.1400000e+02	5.3665644e-01	-1.1400000e+02	5.3643996e-01	-1.1400000e+02	3.5784647e-01	-1.1400000e+02	2.9541150e-01	-1.1400000e+02	2.4206883e-01	-1.1400000e+02	2.8715777e-01	-1.1400000e+02	2.7979758e-01	-1.1400000e+02	2.7843773e-01	END	END
-1.1300000e+02	5.1283342e-01	-1.1300000e+02	5.1263314e-01	-1.1300000e+02	3.4089595e-01	-1.1300000e+02	2.8078994e-01	-1.1300000e+02	2.2945905e-01	-1.1300000e+02	2.7296072e-01	-1.1300000e+02	2.6585576e-01	-1.1300000e+02	2.6454350e-01	END	END
-1.1200000e+02	4.8838928e-01	-1.1200000e+02	4.8820475e-01	-1.1200000e+02	3.2368883e-01	-1.1200000e+02	2.6604387e-01	-1.1200000e+02	2.1606018e-01	-1.1200000e+02	2.5864455e-01	-1.1200000e+02	2.5181177e-01	-1.1200000e+02	2.5055355e-01	END	END
-1.1100000e+02	4.6335793e-01	-1.1100000e+02	4.6318862e-01	-1.1100000e+02	3.0624571e-01	-1.1100000e+02	2.5118929e-01	-1.1100000e+02	2.0345980e-01	-1.1100000e+02	2.4422552e-01	-1.1100000e+02	2.3768131e-01	-1.1100000e+02	2.3648325e-01	END	END
-1.1000000e+02	4.3777376e-01	-1.1000000e+02	4.3761921e-01	-1.1000000e+02	2.8858671e-01	-1.1000000e+02	2.3624140e-01	-1.1000000e+02	1.9086879e-01	-1.1000000e+02	2.2971909e-01	-1.1000000e+02	2.2347918e-01	-1.1000000e+02	2.2170216e-01	END	END
-1.0900000e+02	4.1167170e-01	-1.0900000e+02	4.1153142e-01	-1.0900000e+02	2.7017853e-01	-1.0900000e+02	2.2065219e-01	-1.0900000e+02	1.7829761e-01	-1.0900000e+02	2.1513982e-01	-1.0900000e+02	2.0921928e-01	-1.0900000e+02	2.0753172e-01	END	END
-1.0800000e+02	3.8445976e-01	-1.0800000e+02	3.8445032e-01	-1.0800000e+02	2.5216168e-01	-1.0800000e+02	2.0557587e-01	-1.0800000e+02	1.6575558e-01	-1.0800000e+02	2.0050143e-01	-1.0800000e+02	1.9491456e-01	-1.0800000e+02	1.9332063e-01	END	END
-1.0700000e+02	3.5744357e-01	-1.0700000e+02	3.5744572e-01	-1.0700000e+02	2.3398574e-01	-1.0700000e+02	1.9044620e-01	-1.0700000e+02	1.5325098e-01	-1.0700000e+02	1.8581681e-01	-1.0700000e+02	1.8057720e-01	-1.0700000e+02	1.7908083e-01	END	END
-1.0600000e+02	3.3001557e-01	-1.0600000e+02	3.3002898e-01	-1.0600000e+02	2.1566917e-01	-1.0600000e+02	1.7527543e-01	-1.0600000e+02	1.4079101e-01	-1.0600000e+02	1.7109805e-01	-1.0600000e+02	1.6621846e-01	-1.0600000e+02	1.6482334e-01	END	END
-1.0500000e+02	3.0221215e-01	-1.0500000e+02	3.0223650e-01	-1.0500000e+02	1.9723001e-01	-1.0500000e+02	1.6007507e-01	-1.0500000e+02	1.2838186e-01	-1.0500000e+02	1.5635644e-01	-1.0500000e+02	1.5184881e-01	-1.0500000e+02	1.5055838e-01	END	END
-1.0400000e+02	2.7406991e-01	-1.0400000e+02	2.7410489e-01	-1.0400000e+02	1.7868589e-01	-1.0400000e+02	1.4485596e-01	-1.0400000e+02	1.1602876e-01	-1.0400000e+02	1.4160252e-01	-1.0400000e+02	1.3747790e-01	-1.0400000e+02	1.3629536e-01	END	END
